cve,cwe,crate,repo,rustsec_id,advisory_date,commit_date,never_patched_upstream,audit_verdict,sheet_row
CVE-2024-4435,CWE-401,ic-stable-structures,dfinity/stable-structures,RUSTSEC-2024-0406,2024-05-17,2024-04-17,no,OK,23
CVE-2024-11738,CWE-248,rustls,rustls/rustls,RUSTSEC-2024-0399,2024-11-22,2024-11-22,no,OK,24
CVE-2024-9979,CWE-416,pyo3,pyo3/pyo3,RUSTSEC-2024-0378,2024-10-12,2024-10-04,no,OK,25
CVE-2024-47609,CWE-755,tonic,hyperium/tonic,RUSTSEC-2024-0376,2024-10-01,2024-08-29,no,OK,26
CVE-2024-45311,CWE-670,quinn-proto,quinn-rs/quinn,RUSTSEC-2024-0373,2024-09-02,2024-09-02,no,OK,27
CVE-2024-45405,CWE-41,gix-path,GitoxideLabs/gitoxide,RUSTSEC-2024-0371,2024-09-06,2024-08-27,no,OK,28
CVE-2024-39697,CWE-617,phonenumber,whisperfish/rust-phonenumber,RUSTSEC-2024-0369,2024-07-07,2024-07-09,no,OK,29
CVE-2024-45305,CWE-706,gix-path,GitoxideLabs/gitoxide,RUSTSEC-2024-0367,2024-08-31,2024-08-15,no,OK,30
CVE-2024-41178,CWE-532,object_store,apache/arrow-rs,RUSTSEC-2024-0358,2024-07-23,2024-07-17,no,OK,31
CVE-2024-40648,CWE-287,matrix-sdk-crypto,matrix-org/matrix-rust-sdk,RUSTSEC-2024-0356,2024-07-18,2024-07-18,no,OK,32
CVE-2024-40644,CWE-427,gix-path,GitoxideLabs/gitoxide,RUSTSEC-2024-0355,2024-07-18,2024-07-14,no,OK,33
CVE-2024-40640,CWE-208,vodozemac,matrix-org/vodozemac,RUSTSEC-2024-0354,2024-07-17,2024-05-20,no,OK,34
CVE-2024-35197,CWE-67,gix-worktree,GitoxideLabs/gitoxide,RUSTSEC-2024-0352,2024-05-22,2024-05-19,no,OK,35
CVE-2024-35186,CWE-22,gix-index,GitoxideLabs/gitoxide,RUSTSEC-2024-0350,2024-05-22,2024-05-22,no,OK,36
CVE-2024-58261,CWE-835,sequoia-openpgp,,RUSTSEC-2024-0345,2024-06-26,2024-06-26,no,OK,37
CVE-2024-58263,CWE-190,cosmwasm-std,CosmWasm/cosmwasm,RUSTSEC-2024-0338,2024-04-24,2024-04-16,no,OK,38
CVE-2024-32650,CWE-835,rustls,rustls/rustls,RUSTSEC-2024-0336,2024-04-19,2024-04-19,no,OK,39
CVE-2024-32884,CWE-77,gix-transport,GitoxideLabs/gitoxide,RUSTSEC-2024-0335,2024-04-13,2024-04-12,no,OK,40
CVE-2024-27308,CWE-416,mio,tokio-rs/mio,RUSTSEC-2024-0019,2024-03-04,2024-03-01,no,OK,41
CVE-2024-27284,CWE-416,cassandra-cpp,cassandra-rs/cassandra-rs,RUSTSEC-2024-0017,2024-02-28,2024-02-27,no,OK,42
CVE-2024-58264,CWE-674,serde-json-wasm,CosmWasm/serde-json-wasm,RUSTSEC-2024-0012,2024-01-24,2024-01-23,no,OK,43
CVE-2024-58265,CWE-642,snow,mcginty/snow,RUSTSEC-2024-0011,2024-01-23,2024-01-24,no,OK,44
CVE-2024-58266,CWE-116,shlex,comex/rust-shlex,RUSTSEC-2024-0006,2024-01-21,2024-01-21,no,OK,45
CVE-2023-27477,CWE-193,wasmtime / cranelift-codegen,bytecodealliance/wasmtime,RUSTSEC-2023-0093,2023-03-03,2023-03-08,no,OK,46
CVE-2023-42444,CWE-248,phonenumber,whisperfish/rust-phonenumber,RUSTSEC-2023-0082,2023-09-19,2023-09-19,no,OK,47
CVE-2023-53156,CWE-190,transpose,ejmahler/transpose,RUSTSEC-2023-0080,2023-12-18,2024-02-19,no,OK,48
CVE-2023-53157,CWE-130,rosenpass,rosenpass/rosenpass,RUSTSEC-2023-0077,2023-11-04,2023-11-12,no,OK,49
CVE-2023-49092,CWE-385,rsa,RustCrypto/RSA,RUSTSEC-2023-0071,2023-11-22,2025-02-13,yes,WRONG_COMMIT,50
CVE-2024-21530,CWE-323,cocoon,fadeevab/cocoon,RUSTSEC-2023-0068,2023-10-15,2023-10-17,no,OK,51
CVE-2023-53159,CWE-126,openssl,rust-openssl/rust-openssl,RUSTSEC-2023-0044,2023-06-20,2023-06-19,no,OK,52
CVE-2023-53161,CWE-125,buffered-reader,,RUSTSEC-2023-0039,2023-05-16,2023-05-17,no,OK,53
CVE-2023-53160,CWE-125,sequoia-openpgp,,RUSTSEC-2023-0038,2023-05-16,2023-05-12,no,OK,54
CVE-2023-22742,CWE-347,libgit2-sys,rust-lang/git2-rs,RUSTSEC-2023-0003,2023-01-20,2023-01-20,no,OK,55
CVE-2022-39392,CWE-119,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2022-0076,2022-11-10,2022-11-10,no,OK,56
CVE-2022-23636,CWE-824,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2022-0096,2022-02-17,2022-02-16,no,OK,57
CVE-2022-31146,CWE-416,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2022-0100,2022-07-12,2022-07-20,no,OK,58
CVE-2022-39393,CWE-226,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2022-0098,2022-11-05,2022-11-10,no,OK,59
CVE-2022-39394,CWE-787,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2022-0097,2022-11-07,2022-11-10,no,OK,60
CVE-2022-31104,CWE-682,wasmtime (cranelift-codegen),bytecodealliance/wasmtime,RUSTSEC-2022-0095,2022-06-27,2022-06-27,no,OK,61
CVE-2022-39215,CWE-22,tauri,tauri-apps/tauri,RUSTSEC-2022-0088,2022-08-07,2022-09-15,no,OK,62
CVE-2022-39292,CWE-1258,slack-morphism,abdolence/slack-morphism-rust,RUSTSEC-2022-0087,2022-10-10,2022-10-08,no,OK,63
CVE-2022-23486,CWE-400,libp2p,libp2p/rust-libp2p,RUSTSEC-2022-0084,2022-07-12,2022-06-08,no,OK,64
CVE-2022-39294,CWE-400,conduit-hyper,jtgeibel/conduit-hyper,RUSTSEC-2022-0066,2022-10-30,2022-09-06,no,OK,65
CVE-2022-3212,CWE-770,axum-core,tokio-rs/axum,RUSTSEC-2022-0055,2022-08-31,2022-09-03,no,OK,66
CVE-2022-29185,CWE-208,totp-rs,constantoine/totp-rs,RUSTSEC-2022-0018,2022-05-09,2022-04-24,no,OK,67
CVE-2021-39216,CWE-416,wasmtime,bytecodealliance/wasmtime,RUSTSEC-2021-0110,2021-09-17,2021-09-14,no,OK,68
CVE-2021-32810,CWE-362,crossbeam-deque,crossbeam-rs/crossbeam,RUSTSEC-2021-0093,2021-07-30,2021-06-11,no,OK,69
CVE-2021-45690,CWE-908,messagepack-rs,otake84/messagepack-rs,RUSTSEC-2021-0092,2021-01-26,2021-11-25,yes,OK,70
CVE-2021-32714,CWE-190,hyper,hyperium/hyper,RUSTSEC-2021-0079,2021-07-07,2021-07-07,no,OK,71
CVE-2021-32629,CWE-788,cranelift-codegen,bytecodealliance/wasmtime,RUSTSEC-2021-0067,2021-05-21,2021-05-19,no,OK,72
CVE-2020-26281,CWE-444,async-h1,http-rs/async-h1,RUSTSEC-2020-0093,2020-12-17,2020-12-13,no,OK,73
CVE-2020-26235,CWE-476,time,time-rs/time,RUSTSEC-2020-0159,2020-11-10,2020-11-17,no,REVIEW,74
CVE-2020-15254,CWE-119,crossbeam-channel,crossbeam-rs/crossbeam,RUSTSEC-2020-0052,2020-06-26,2020-06-25,no,OK,75
CVE-2020-15093,CWE-347,tough,awslabs/tough,RUSTSEC-2020-0024,2020-07-09,2020-07-01,no,OK,76
CVE-2021-45720,CWE-416,lru,jeromefroe/lru-rs,RUSTSEC-2021-0130,2021-12-21,2021-12-12,no,OK,77
CVE-2021-45713,CWE-416,rusqlite,rusqlite/rusqlite,RUSTSEC-2021-0128,2021-12-07,2021-12-01,no,OK,78
CVE-2021-45711,CWE-20,simple_asn1,acw/simple_asn1,RUSTSEC-2021-0125,2021-11-14,2021-11-14,no,OK,79
CVE-2021-45710,CWE-362,tokio,tokio-rs/tokio,RUSTSEC-2021-0124,2021-11-16,2021-11-14,no,OK,80
CVE-2021-43620,CWE-20,fruity,nvzqz/fruity,RUSTSEC-2021-0123,2021-11-14,2021-02-07,no,OK,81
CVE-2021-45709,CWE-119,crypto2,shadowsocks/crypto2,RUSTSEC-2021-0121,2021-10-08,2021-10-10,yes,OK,82
CVE-2021-45707,CWE-787,nix,nix-rust/nix,RUSTSEC-2021-0119,2021-09-27,2021-09-28,no,OK,83
CVE-2021-28033,CWE-908,byte_struct,wwylele/byte-struct-rs,RUSTSEC-2021-0032,2021-03-01,2021-03-01,no,OK,84
CVE-2021-31919,CWE-908,rkyv,rkyv/rkyv,RUSTSEC-2021-0054,2021-04-28,2021-04-28,no,OK,85
CVE-2020-36220,CWE-662,va-ts,video-audio/va-ts,RUSTSEC-2020-0114,2020-12-22,2021-01-21,no,OK,86
CVE-2020-36219,CWE-662,atomic-option,reem/rust-atomic-option,RUSTSEC-2020-0113,2020-10-31,2015-07-30,yes,WRONG_COMMIT,87
CVE-2019-16143,CWE-327,blake2,RustCrypto/hashes,RUSTSEC-2019-0019,2019-08-25,2019-08-26,no,OK,88
CVE-2023-42811,CWE-347,aes-gcm,RustCrypto/AEADs,RUSTSEC-2023-0096,2023-11-22,2023-09-21,no,OK,89
CVE-2022-39397,CWE-200,aliyun-oss-client,tu6ge/oss-rs,RUSTSEC-2022-0089,2022-11-19,2022-11-08,no,OK,90
CVE-2023-42447,CWE-248,blurhash,whisperfish/blurhash-rs,RUSTSEC-2023-0083,2023-09-19,2023-09-19,no,OK,91
CVE-2020-35918,CWE-20,branca,return/branca,RUSTSEC-2020-0075,2020-11-29,2020-11-29,no,OK,92
CVE-2024-51756,CWE-22,cap-primitives,bytecodealliance/cap-std,RUSTSEC-2024-0445,2024-11-05,2024-11-05,no,OK,93
CVE-2025-66017,CWE-327,cggmp24,LFDT-Lockness/cggmp21,RUSTSEC-2025-0127,2025-11-24,2025-11-24,no,OK,94
CVE-2019-25005,CWE-190,chacha20,RustCrypto/stream-ciphers,RUSTSEC-2019-0029,2019-10-22,2019-10-23,no,OK,95
CVE-2026-23519,CWE-208,cmov,RustCrypto/utils,RUSTSEC-2026-0003,2026-01-14,2026-01-14,no,OK,96
CVE-2021-38186,CWE-79,comrak,kivikakk/comrak,RUSTSEC-2021-0063,2021-05-04,2021-05-04,no,OK,97
CVE-2024-58262,CWE-203,curve25519-dalek,dalek-cryptography/curve25519-dalek,RUSTSEC-2024-0344,2024-06-18,2024-06-18,no,OK,98
CVE-2025-48935,CWE-863,deno,denoland/deno,RUSTSEC-2025-0138,2025-06-03,2025-03-20,no,OK,99
CVE-2020-35863,CWE-444,hyperium/hyper,hyperium/hyper,RUSTSEC-2020-0008,2020-03-19,2019-09-04,no,OK,100
CVE-2021-38195,CWE-347,paritytech/libsecp256k1,paritytech/libsecp256k1,RUSTSEC-2021-0076,2021-07-13,2021-04-14,no,OK,101
CVE-2026-22705,CWE-208,ml-dsa,RustCrypto/signatures,RUSTSEC-2025-0144,2025-12-12,2026-01-09,no,OK,102
CVE-2020-35883,CWE-22,mozwire,NilsIrl/MozWire,RUSTSEC-2020-0030,2020-08-18,2020-08-19,no,OK,103
CVE-2020-35909,CWE-20,multihash,multiformats/rust-multihash,RUSTSEC-2020-0068,2020-11-08,2020-07-16,no,OK,104
CVE-2024-36400,CWE-331,nano-id,viz-rs/nano-id,RUSTSEC-2024-0343,2024-06-03,2024-06-03,no,OK,105
CVE-2023-3766,CWE-120,odoh-rs,cloudflare/odoh-rs,RUSTSEC-2023-0095,2023-08-03,2023-07-14,no,OK,106
CVE-2021-27378,CWE-330,rand_core,rust-random/rand_core,RUSTSEC-2021-0023,2021-02-12,2021-02-10,no,OK,107
CVE-2020-35866,CWE-362,rusqlite,rusqlite/rusqlite,RUSTSEC-2020-0014,2020-04-23,2020-04-15,no,OK,108
CVE-2021-45696,CWE-327,sha2,RustCrypto/hashes,RUSTSEC-2021-0100,2021-09-08,2021-09-09,no,OK,109
CVE-2017-1000168,CWE-1240,sodiumoxide,sodiumoxide/sodiumoxide,RUSTSEC-2017-0001,2017-01-26,2017-01-26,no,OK,110
CVE-2019-25002,CWE-697,sodiumoxide,sodiumoxide/sodiumoxide,RUSTSEC-2019-0026,2019-10-11,2019-10-11,no,OK,111
CVE-2019-25006,CWE-327,streebog,RustCrypto/hashes,RUSTSEC-2019-0030,2019-10-06,2019-11-06,no,OK,112
CVE-2022-41874,CWE-284,tauri,tauri-apps/tauri,RUSTSEC-2022-0091,2022-09-19,2022-10-04,no,OK,113
CVE-2025-69257,CWE-269,theshit,AsfhtgkDavid/theshit,RUSTSEC-2025-0139,2025-12-30,2025-12-30,no,OK,114
CVE-2024-34063,CWE-1188,vodozemac,matrix-org/vodozemac,RUSTSEC-2024-0342,2024-05-02,2024-03-15,no,NO_RUST_DELTA,115
CVE-2022-21685,CWE-191,Frontier,polkadot-evm/frontier,,,2022-01-13,no,OK,116
CVE-2022-23639,CWE-362,crossbeam-utils,crossbeam-rs/crossbeam,RUSTSEC-2022-0041,2022-02-05,2022-02-05,no,OK,117
CVE-2022-23066,CWE-682,Solana rBPF,solana-labs/rbpf,,,2022-04-29,no,OK,118
CVE-2022-24713,CWE-400,regex,rust-lang/regex,RUSTSEC-2022-0013,2022-03-08,2022-03-03,no,OK,119
CVE-2022-24791,CWE-416,Wasmtime,bytecodealliance/wasmtime,RUSTSEC-2022-0016,2022-03-31,2022-03-31,no,OK,120
CVE-2022-27815,CWE-059,SWHKD,waycrate/swhkd,,,2022-03-25,no,OK,121
CVE-2022-27816,CWE-059,SWHKD,waycrate/swhkd,,,2022-03-25,no,OK,122
CVE-2022-27818,CWE-668,SWHKD,waycrate/swhkd,,,2022-03-25,no,OK,123
CVE-2022-27819,CWE-400,SWHKD,waycrate/swhkd,,,2022-03-25,no,OK,124
CVE-2022-31099,CWE-674,rulex,rulex-rs/pomsky,RUSTSEC-2022-0030,2022-05-21,2022-06-19,no,OK,125
CVE-2022-31100,CWE-617,rulex,rulex-rs/pomsky,RUSTSEC-2022-0031,2022-05-21,2022-06-18,no,OK,126
CVE-2022-31111,CWE-670,Frontier,polkadot-evm/frontier,,,2022-06-29,no,OK,127
CVE-2022-31169,CWE-682,Wasmtime,bytecodealliance/wasmtime,RUSTSEC-2022-0096,2022-02-17,2022-07-20,no,OK,128
CVE-2022-31173,CWE-400,Juniper,graphql-rust/juniper,RUSTSEC-2022-0038,2022-07-28,2022-07-28,no,OK,129
CVE-2022-35922,CWE-400,Rust-WebSocket,websockets-rs/rust-websocket,RUSTSEC-2022-0035,2022-08-01,2022-07-24,no,OK,130
CVE-2022-36008,CWE-190,Frontier,polkadot-evm/frontier,,,2022-08-15,no,OK,131
CVE-2022-36113,CWE-022,Cargo,rust-lang/cargo,,,2022-09-14,no,OK,132
CVE-2022-39252,CWE-287,matrix-sdk-crypto,matrix-org/matrix-rust-sdk,RUSTSEC-2022-0085,2022-09-29,2022-09-28,no,WRONG_COMMIT,133
CVE-2023-22466,CWE-665,Tokio,tokio-rs/tokio,RUSTSEC-2023-0001,2023-01-04,2023-01-03,no,OK,134
CVE-2023-28113,CWE-347,russh,warp-tech/russh,,,2023-03-16,no,OK,135
CVE-2023-30624,CWE-758,Wasmtime,bytecodealliance/wasmtime,RUSTSEC-2023-0092,2023-04-21,2023-04-27,no,OK,136
CVE-2023-41051,CWE-125,vm-memory rust crate,rust-vmm/vm-memory,RUSTSEC-2023-0056,2023-09-01,2023-08-29,no,OK,137
CVE-2023-41317,CWE-755,Apollo Router,apollographql/router,,,2023-09-04,no,OK,138
CVE-2023-45812,CWE-754,Apollo Router,apollographql/router,,,2023-10-11,no,OK,139
CVE-2023-46135,CWE-248,rs-stellar-strkey,stellar/rs-stellar-strkey,,,2023-10-17,no,OK,140
CVE-2023-50711,CWE-787,vmm-sys-util,rust-vmm/vmm-sys-util,RUSTSEC-2024-0002,2024-01-02,2024-01-02,no,OK,141
CVE-2023-6245,CWE-020,Candid,dfinity/candid,RUSTSEC-2023-0073,2023-12-08,2023-10-16,no,OK,142
CVE-2024-21491,CWE-288,svix,svix/svix-webhooks,RUSTSEC-2024-0010,2024-02-06,2024-02-06,no,OK,143
CVE-2024-21629,CWE-703,Rust EVM,rust-ethereum/evm,,,2023-12-17,no,OK,144
CVE-2024-23644,CWE-113,Trillium,trillium-rs/trillium,RUSTSEC-2024-0008,2024-01-23,2024-01-23,no,OK,145
CVE-2024-28854,CWE-400,tls-listener,tmccombs/tls-listener,RUSTSEC-2024-0341,2024-03-15,2024-03-15,no,OK,146
CVE-2024-20380,CWE-475,ClamAV,Cisco-Talos/clamav,,,2024-04-14,no,OK,147
CVE-2015-20001,CWE-119,standard library in rust,rust-lang/rust,CVE-2015-20001,2015-05-27,2015-05-28,no,OK,148
CVE-2017-18016,CWE-346,Parity Browser,paritytech/parity-ethereum,,,2017-06-22,no,OK,149
CVE-2018-1000657,CWE-119,standard library in rust,rust-lang/rust,CVE-2018-1000657,2018-08-20,2017-09-27,no,OK,150
CVE-2018-1000810,CWE-190,standard library in rust,rust-lang/rust,CVE-2018-1000810,2018-09-21,2018-09-20,no,OK,151
CVE-2018-21000,CWE-119,safe-transmute crate,nabijaczleweli/safe-transmute-rs,RUSTSEC-2018-0013,2018-11-27,2018-11-24,no,OK,152
CVE-2018-25008,CWE-662,standard library in rust,rust-lang/rust,CVE-2018-25008,2018-06-25,2018-07-03,no,OK,153
CVE-2019-1010299,CWE-200,standard library in rust,rust-lang/rust,CVE-2019-1010299,2018-08-21,2018-08-22,no,OK,154
CVE-2019-15541,CWE-088,rustls crate,rustls/rustls,,,2019-08-10,no,OK,155
CVE-2019-15550,CWE-125,simd-json crate,simd-lite/simd-json,RUSTSEC-2019-0008,2019-06-24,2019-06-24,no,OK,156
CVE-2019-16214,CWE-701,Libra Core,diem/diem,,,2019-09-03,no,OK,157
CVE-2019-16880,CWE-415,linea crate,strake/linea.rs,RUSTSEC-2019-0021,2019-09-14,2019-09-24,no,OK,158
CVE-2019-16882,CWE-416,string-interner crate,robbepop/string-interner,RUSTSEC-2019-0023,2019-08-24,2023-02-05,no,WRONG_COMMIT,159
CVE-2019-20399,CWE-203,Parity libsecp256k1-rs,paritytech/libsecp256k1,RUSTSEC-2020-0156,2020-01-22,2019-10-02,no,OK,160
CVE-2020-25573,CWE-824,linked-hash-map crate,contain-rs/linked-hash-map,RUSTSEC-2020-0026,2020-06-23,2019-12-16,no,OK,161
CVE-2020-26297,CWE-079,mdBook,rust-lang/mdBook,RUSTSEC-2021-0001,2021-01-04,2021-01-04,no,NO_RUST_DELTA,162
CVE-2020-35861,CWE-125,bumpalo crate,fitzgen/bumpalo,RUSTSEC-2020-0006,2020-03-24,2020-03-24,no,OK,163
CVE-2020-35869,CWE-134,usqlite crate,rusqlite/rusqlite,RUSTSEC-2020-0014,2020-04-23,2020-04-14,no,OK,164
CVE-2020-35870,CWE-416,rusqlite crate,rusqlite/rusqlite,RUSTSEC-2020-0014,2020-04-23,2020-04-14,no,OK,165
CVE-2020-35904,CWE-131,crossbeam-channel crate,crossbeam-rs/crossbeam,RUSTSEC-2020-0052,2020-06-26,2020-06-25,no,OK,166
CVE-2020-35906,CWE-416,futures-task crate,rust-lang/futures-rs,RUSTSEC-2020-0060,2020-09-04,2020-09-02,no,OK,167
CVE-2020-35917,CWE-416,pyo3,pyo3/pyo3,RUSTSEC-2020-0074,2020-11-28,2020-11-28,no,OK,168
CVE-2020-35923,CWE-416,ordered-float crate,reem/rust-ordered-float,RUSTSEC-2020-0082,2020-12-06,2020-12-06,no,OK,169
CVE-2020-36210,CWE-908,autorand crate,mersinvald/autorand-rs,RUSTSEC-2020-0103,2020-12-31,2021-01-18,no,OK,170
CVE-2020-36317,CWE-787,standard library in rust,rust-lang/rust,CVE-2020-36317,2020-10-28,2020-10-29,no,OK,171
CVE-2020-36318,CWE-416,standard library in rust,rust-lang/rust,CVE-2020-36318,2020-12-07,2020-12-08,no,OK,172
CVE-2021-21235,CWE-400,kamadak-exif,kamadak/exif-rs,RUSTSEC-2021-0143,2021-01-04,2021-01-04,no,OK,173
CVE-2021-21299,CWE-444,hyper crate,hyperium/hyper,RUSTSEC-2021-0020,2021-02-05,2021-02-05,no,OK,174
CVE-2021-24117,CWE-203,Apache Teaclave Rust SGX SDK,apache/incubator-teaclave-sgx-sdk,,,,no,SHA_NOT_FOUND,175
CVE-2021-25900,CWE-787,smallvec crate,servo/rust-smallvec,RUSTSEC-2021-0003,2021-01-08,2021-01-08,no,OK,176
CVE-2021-25902,CWE-416,glsl-layout crate,rustgd/glsl-layout,RUSTSEC-2021-0005,2021-01-10,2021-01-10,no,OK,177
CVE-2021-28875,CWE-252,standard library in rust,rust-lang/rust,CVE-2021-28875,2021-01-10,2021-01-11,no,OK,178
CVE-2021-28876,CWE-755,standard library in rust,rust-lang/rust,CVE-2021-28876,2021-02-04,2021-02-04,no,OK,179
CVE-2021-28877,CWE-119,standard library in rust,rust-lang/rust,CVE-2021-28877,2021-01-03,2021-01-04,no,OK,180
CVE-2021-28878,CWE-119,standard library in rust,rust-lang/rust,CVE-2021-28878,2021-02-19,2021-03-05,no,OK,181
CVE-2021-28879,CWE-190,standard library in rust,rust-lang/rust,CVE-2021-28879,2021-02-18,2021-03-03,no,OK,182
CVE-2021-29511,CWE-770,evm,rust-ethereum/evm,,,2021-05-11,no,OK,183
CVE-2021-29922,CWE-020,standard library in rust,rust-lang/rust,CVE-2021-29922,2020-01-31,2021-03-30,no,OK,184
CVE-2021-31162,CWE-415,standard library in rust,rust-lang/rust,CVE-2021-31162,2021-03-28,2021-03-29,no,OK,185
CVE-2021-32814,CWE-022,Skytable,skytable/skytable,,,2021-02-15,no,OK,187
CVE-2021-37625,CWE-252,Skytable,skytable/skytable,,,2021-08-05,no,OK,188
CVE-2021-36376,CWE-427,dandavison delta,dandavison/delta,RUSTSEC-2021-0105,2021-07-12,2021-07-10,no,OK,189
CVE-2021-36753,CWE-427,sharkdp BAT,sharkdp/bat,RUSTSEC-2021-0106,2021-07-15,2021-07-12,no,OK,190
CVE-2021-3917,CWE-276,coreos-installer,coreos/coreos-installer,,,2021-07-07,no,OK,191
CVE-2021-39193,CWE-020,Frontier,polkadot-evm/frontier,,,2021-09-03,no,OK,192
CVE-2021-41138,CWE-020,Frontier,polkadot-evm/frontier,,,2021-10-13,no,OK,193
CVE-2021-41153,CWE-670,evm crate,rust-ethereum/evm,,,2021-10-18,no,OK,194
CVE-2021-43790,CWE-416,Lucet,fastly/lucet,RUSTSEC-2021-0155,2021-11-30,2021-11-29,yes,OK,195
CVE-2021-44421,CWE-203,Occlum,occlum/occlum,,,2021-11-29,no,OK,196
CVE-2021-32715,CWE-444,hyper,hyperium/hyper,RUSTSEC-2021-0078,2021-07-07,2021-07-07,no,OK,200
CVE-2021-38193,CWE-79,ammonia,rust-ammonia/ammonia,RUSTSEC-2021-0074,2021-07-08,2021-07-08,no,OK,201
CVE-2021-38192,CWE-120,prost-types,tokio-rs/prost,RUSTSEC-2021-0073,2021-07-08,2021-07-06,no,OK,202
CVE-2021-38191,CWE-362,tokio,tokio-rs/tokio,RUSTSEC-2021-0072,2021-07-07,2021-07-06,no,OK,203
CVE-2021-3013,CWE-78,grep-cli (ripgrep),BurntSushi/ripgrep,RUSTSEC-2021-0071,2021-06-12,2021-05-29,no,OK,204
CVE-2021-38190,CWE-119,nalgebra,dimforge/nalgebra,RUSTSEC-2021-0070,2021-06-06,2021-05-06,no,OK,205
CVE-2021-38189,CWE-77,lettre,lettre/lettre,RUSTSEC-2021-0069,2021-05-22,2021-05-22,no,OK,206
CVE-2021-38188,CWE-131,iced-x86,icedland/iced,RUSTSEC-2021-0068,2021-05-19,2021-03-03,no,REVIEW,207
CVE-2021-38187,CWE-681,anymap,chris-morgan/anymap,RUSTSEC-2021-0065,2021-05-07,2022-02-03,yes,REVIEW,209
CVE-2021-30455,CWE-415,id-map,andrewhickman/id-map,RUSTSEC-2021-0052,2021-02-26,2025-08-14,yes,REVIEW,212
CVE-2021-30454,CWE-119,outer_cgi,SolraBizna/outer_cgi,RUSTSEC-2021-0051,2021-01-31,2023-10-19,no,WRONG_COMMIT,213
CVE-2021-29941,CWE-787,reorder,tiby312/reorder,RUSTSEC-2021-0050,2021-02-24,2021-04-13,no,OK,214
CVE-2021-29939,CWE-787,stackvector,Alexhuszagh/rust-stackvector,RUSTSEC-2021-0048,2021-02-19,2019-09-02,no,REVIEW,215
