id,repo,sha,date,cat,subject,files,nfiles,diff_lines,before_chars,after_chars,delta
contain-rs__linked-hash-map__22f8eddd,contain-rs/linked-hash-map,22f8eddd7c5af1bf40a4b53225a390246f5dbb7c,2015-03-18,nonfix,add borrowed key lookups to `LinkedHashMap`,src/lib.rs,1,93,2174,2525,351
awslabs__tough__7f56ccd0,awslabs/tough,7f56ccd0f7b97c21a911456aa3c8b69909ee8237,2020-08-20,nonfix,Added support to append signatures to root.json on multiple runs of the root sign command #214,tough/src/editor/signed.rs|tuftool/src/root.rs,2,29,3111,3700,589
rust-openssl__rust-openssl__f83ed2e0,rust-openssl/rust-openssl,f83ed2e0746807cf8d251c01f7a92819118c2df3,2020-09-28,nonfix,"Add some X509_REVOKED bindings, make extensions field public",openssl-sys/src/x509.rs,1,7,351,624,273
robbepop__string-interner__259cf1f3,robbepop/string-interner,259cf1f3794497f8eee35d498240ba8ad6c5aaf1,2021-10-26,nonfix,add shortcuts for encode and decode of variable encoded usize,src/backend/buffer.rs,1,9,704,969,265
tu6ge__oss-rs__e17892d3,tu6ge/oss-rs,e17892d3f1cd279a349b0c741f19a97dfed38637,2023-04-10,nonfix,test(decode),src/traits.rs,1,44,1771,2349,578
paritytech__parity-ethereum__3b23c2e8,paritytech/parity-ethereum,3b23c2e86d09a8a8b8cd99dfa02390177498e6b7,2019-02-03,nonfix,Additional tests for uint deserialization. (#10279),rpc/src/v1/types/bytes.rs|rpc/src/v1/types/hash.rs|rpc/src/v1/types/uint.rs,3,10,2684,2900,216
otake84__messagepack-rs__c7266b52,otake84/messagepack-rs,c7266b5279c7363633984717db38952ec7e861aa,2019-07-25,nonfix,Implement deserialize for Marker::Bin8,src/value.rs,1,9,1804,2294,490
coreos__coreos-installer__9334eb79,coreos/coreos-installer,9334eb792543712a71abc3fae3b3de2ea65b6845,2023-12-15,nonfix,install: support grub2/50_coreos.cfg for console replacement,src/install.rs,1,14,2617,2903,286
apache__incubator-teaclave-sgx-sdk__9101341b,apache/incubator-teaclave-sgx-sdk,9101341b192bcd8e7632f77367adfc8218b054bc,2020-12-29,nonfix,force trigger uninit_global_object,sgx_tstd/src/rt.rs|sgx_tstd/src/sync/spinlock.rs,2,30,490,941,451
johnshaw__magnetic__a3de2661,johnshaw/magnetic,a3de266158d4297d3b5002f505f7064bb3c7a801,2025-02-20,nonfix,Single variant queue endpoints must be !Sync,src/mpsc.rs|src/spmc.rs|src/spsc.rs,3,10,1664,1976,312
diesel-rs__diesel__743d8b66,diesel-rs/diesel,743d8b66ecc58a9d9c7c19e731f98a16ca2a0b1a,2025-09-29,nonfix,"migrations: Append helpful URL to ""cannot run inside a transaction block"" errors",diesel_migrations/src/errors.rs,1,11,543,972,429
okready__scratchpad__1ef5ea45,okready/scratchpad,1ef5ea45c99f4f0d12c408de32179deb27b7dc5b,2018-05-24,nonfix,Use `ptr::write()` in append/prepend functions,src/marker.rs,1,14,5819,6025,206
awslabs__tough__1b120c92,awslabs/tough,1b120c924d8ee23b602b723b40d1e5a0002fc586,2019-12-04,nonfix,tuftool: Replace sha2 crate with ring::digest,tuftool/src/create.rs,1,31,3622,3925,303
Yoric__telemetry.rs__2d64cf58,Yoric/telemetry.rs,2d64cf589edb17016593ebe4033f1c93a8935823,2015-10-10,nonfix,Resolves #13 Add caching for SingleFlag,src/telemetry/mod.rs,1,37,781,1080,299
